func_id,rms,cost,run_id
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
1,24,1,1
5,16,4,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
2,16,2,1
4,108,53,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
3,60,13,1
6,68,132,1
7,8,1,1
8,468,258,1
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
1,24,1,2
5,16,4,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
2,16,2,2
